time,task-clock,branches,branch-instructions,branch-misses,stalled-cycles-frontend,stalled-cycles-backend,bus-cycles,cache-references,cache-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,cycle_activity.stalls_l3_miss,mem-loads,mem-stores,dtlb_load_misses.stlb_hit,page-faults
5.005042971,,10800213763,10831610513,226337086,,,1241164915,1222833154,460899462,158130556,76009022,194179085,172766065,44679405447,0,9756708493,297023418,166604
10.011050434,,12326533859,12246130491,280218524,,,1501824118,1369165719,523622924,194792851,94641188,238929674,209319967,55981989245,0,11051640685,362689582,90813
15.017149283,,12297558588,12246542262,282017717,,,1501188728,1375374672,523367097,197588873,95605527,239548259,209858303,56250457407,0,10985476832,368750095,53124
20.022751182,,12787524790,12737952456,279516245,,,1500701653,1365515729,523761595,197231130,97001135,232309765,203816408,56396975579,0,11448010741,369813248,44823
25.028046038,,12337664603,12413639482,277781089,,,1500567210,1372049338,523307836,195782241,95265175,238626069,210048243,56409691364,0,10990327496,363570363,39695
30.035179695,,13728756400,13795080866,258501283,,,1491816245,1328122682,522973309,188566387,96520657,231699837,205194158,55212206601,0,11926333951,355330753,101688
35.041706618,,13505932439,13464127273,266171745,,,1502175308,1353348497,521998008,192234378,96701291,231937398,205942404,55938072362,0,11927985915,361878074,60871
40.047041939,,13325568986,13331680108,261641452,,,1501120252,1332938481,522283528,187562004,94670661,233319660,207163622,55482006165,0,11641438563,355839725,50922
45.053153655,,13460349129,13403344864,268549135,,,1501597006,1336582230,519958643,191196144,96037990,231749121,204532813,55717562706,0,11723915594,365848291,71770
50.058042374,,12158409458,12204806643,279333642,,,1499799069,1363976080,524664290,193308824,94294172,239185288,209902150,55861765900,0,10978200066,359902679,111418
55.063103428,,12429369789,12315768526,277977022,,,1500404291,1356680262,524229085,193843723,95222111,238657736,205157102,56244144114,0,11037417837,376776428,64201
60.069040971,,12270683908,12298717273,278864072,,,1499483293,1359514083,524481077,194045052,95592805,237892900,207811077,56011955210,0,11132851544,367156498,41913
65.00097211,,7572496308,7554513798,86957822,,,594354893,826227061,306198909,64214274,29708079,96188902,85920443,17025986742,0,6829687212,132639326,13611
