Test_ID,Replicas,Interference_Name,Interference_ID,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P99_Latency,Max_Latency
2replicas_scenario0_1500rps,2,Baseline0,0,1500,1471.69,536.66,470.0,717.0,990.0,1560.0,2620.0
2replicas_scenario1_1500rps,2,Baseline1,1,1500,1495.41,57.85,51.0,59.0,77.0,165.0,2400.0
2replicas_scenario2_1500rps,2,Baseline2,2,1500,1471.68,553.1,498.0,753.0,970.0,1440.0,3520.0
2replicas_scenario3_1500rps,2,Baseline3,3,1500,1495.54,54.39,51.0,57.0,71.0,104.0,1650.0
2replicas_scenario4_1500rps,2,Baseline4,4,1500,1471.67,378.13,306.0,511.0,730.0,1230.0,2240.0
2replicas_scenario5_1500rps,2,1_iBench_CPU_pod,5,1500,1471.85,561.26,484.0,734.0,1010.0,1740.0,4540.0
2replicas_scenario6_1500rps,2,2_iBench_CPU_pods,6,1500,1495.54,116.1,54.0,77.0,136.0,1840.0,6220.0
2replicas_scenario7_1500rps,2,3_iBench_CPU_pods,7,1500,1495.44,171.2,74.0,114.0,205.0,2580.0,4610.0
2replicas_scenario8_1500rps,2,4_iBench_CPU_pods,8,1500,1471.79,629.77,486.0,815.0,1200.0,2770.0,5580.0
2replicas_scenario9_1500rps,2,1_stress-ng_l3_pod,9,1500,1471.7,604.79,553.0,766.0,1030.0,1480.0,2350.0
2replicas_scenario10_1500rps,2,2_stress-ng_l3_pods,10,1500,1471.67,1940.0,1840.0,2620.0,3370.0,4840.0,8630.0
2replicas_scenario11_1500rps,2,3_stress-ng_l3_pods,11,1500,1471.61,2580.0,2040.0,3580.0,5520.0,9850.0,18250.0
2replicas_scenario12_1500rps,2,4_stress-ng_l3_pods,12,1500,1471.61,3770.0,3100.0,5110.0,7430.0,13790.0,33980.0
2replicas_scenario13_1500rps,2,1_iBench_memBW_pod,13,1500,1495.57,75.9,66.0,82.0,509.0,1015.0,3340.0
2replicas_scenario14_1500rps,2,2_iBench_memBW_pods,14,1500,1495.53,152.97,114.0,178.0,883.0,1502.0,4390.0
2replicas_scenario15_1500rps,2,3_iBench_memBW_pods,15,1500,1471.63,1040.0,592.0,1300.0,2680.0,4070.0,8050.000000000001
2replicas_scenario16_1500rps,2,4_iBench_memBW_pods,16,1500,1495.35,444.2,138.0,256.0,1410.0,4190.0,7850.0
2replicas_scenario17_1500rps,2,1_CPU_1_L3,17,1500,1495.57,125.88,73.0,97.0,151.0,1440.0,4019.9999999999995
2replicas_scenario18_1500rps,2,1_CPU_1_MemBW,18,1500,1471.97,625.19,495.0,733.0,1040.0,3450.0,6690.0
2replicas_scenario19_1500rps,2,2_CPU_2_L3,19,1500,1471.67,1870.0,1400.0,2550.0,4010.0,6990.0,18300.0
2replicas_scenario20_1500rps,2,1_CPU_1_L3_1_MemBW,20,1500,1495.4,244.36,144.0,251.0,441.0,1910.0,6740.0
